review_id,actual_stars,predicted_stars,explanation,json_valid,error,approach
h_y-oqC4xEECVeB09nQ8ZQ,1,1,"The review is overwhelmingly negative across all aspects: parking, ambiance, exceptionally poor and snobby service, extremely long wait times for food, a lamp going out, and unappetizing food for a high price. The reviewer explicitly states, 'I am recommending that you not go there,' which strongly indicates the lowest possible rating.",True,,Zero-Shot
s0dRHCNMgMjDdlvG6XZ66Q,1,1,"The review explicitly states the experience was 'subpar to say the least' and service was 'HORRENDOUS'. Multiple issues with service, including a disappearing waitress and not returning for payment, were highlighted. Food was described as 'overpriced,' with one roll being 'really bad.' The concluding sentence, 'I have no intention of ingesting there food ever again!', clearly indicates an extremely negative experience deserving of the lowest possible rating.",True,,Zero-Shot
tTGXjt1QZcBnfNmrYLCYKA,1,1,"The review expresses extreme dissatisfaction, highlighting 'SMALLEST wings I have ever seen' and feeling 'punked.' The concluding 'Never to be back' confirms a thoroughly negative experience. While it mentions flavor choices and taste as the 'only reason 1 star can be given,' this phrasing suggests that even a minor positive couldn't salvage the overwhelmingly poor experience, leading to the lowest possible rating.",True,,Zero-Shot
iOABod6-D0_5jcy0U1-7KQ,1,1,"The review expresses extreme anger and frustration, repeatedly stating the staff is 'incredibly useless,' the store is unhelpful, and customer service was dismissive. The customer explicitly promises 'to never go back' and recommends competitors. All sentiments are overwhelmingly negative.",True,,Zero-Shot
Us61PFnfQTMrX-xR3dd2jw,1,1,"The review expresses extreme dissatisfaction, citing a fourth instance of 'crappy service', being unable to order dinner due to unannounced kitchen closure after ordering appetizers, overpriced entrees, and the inconvenience of having to find another restaurant. The customer explicitly states 'we won't be giving them another chance,' reinforcing a completely negative experience.",True,,Zero-Shot
qQcvmt1tvMR3F5OolsIRPg,1,1,"The review details an overwhelmingly negative experience. The server provided 'very cold treatment,' a 'look of pure distaste,' and was 'condescending.' The dessert itself was described as 'stale-looking' with 'cracked edges' and ice cream that had 'ice crystals,' indicating poor quality and presentation compared to previous visits. The reviewer explicitly states they will 'never going to recommend Nobuo to anyone, anymore' and 'won't be returning.' This combination of extremely poor service and unsatisfactory food quality warrants a 1-star rating.",True,,Zero-Shot
-7qEdFzHUZqwn_g25tjReg,1,1,"The review expresses strong disappointment, citing severe cleanliness issues across multiple areas (lobby, salsa bar, drink station) and unacceptable food quality (old guacamole, limp lettuce). These are critical failures leading to a terrible experience.",True,,Zero-Shot
Nr-6xqBN9XqBJXnCToYYKA,1,1,"The review details multiple severe issues: a bag was stolen while the customer was trying on shoes, and the store staff reacted with complete indifference, refusing to offer help, call security/police, or even condolences. Beyond this critical incident, the store is described as a 'mess' with clothes everywhere, and staff were scarce, unprofessional, and socializing instead of assisting customers or maintaining the store. The only positive note is a general appreciation for the brand's fashion, which is heavily overshadowed by the overwhelmingly negative experience at this specific location.",True,,Zero-Shot
dB62OZ5qf6S4X-Zu9FcUqA,1,1,"The review expresses extreme dissatisfaction with nearly every aspect of the dining experience, despite a minor positive note about not getting ill and the fries being good. The sandwich, the main item, was described as 'flavorless' and tasting 'like stale bread.' The price was considered exorbitant for the quality and portion size ('$29.98 for 2 sandwiches and 2 sodas (its an effin sandwich!!!)'). The portion size was also misleadingly described as 'HUGE' by others but found to be insufficient. The overall tone is one of severe disappointment and regret.",True,,Zero-Shot
MNFvGY1zUVGQlImzqvMFQw,1,1,"The review expresses extreme dissatisfaction due to the waitress's rude and unprofessional behavior, unnecessary rushing, and incompetence with handling the bill and change. The reviewer explicitly states the waitress 'completely ruined' the atmosphere, despite liking it previously. The tone is highly negative and sarcastic, indicating a terrible customer experience.",True,,Zero-Shot
dzAwZL5AELxjhlP0fm7foQ,1,1,"The review highlights severe issues including multiple hairs found in the food, bland and tasteless dishes, confusing ordering process, poor service from dismissive staff, and having to retrieve own sodas. The presence of hair in food is a critical hygiene failure, making a 1-star rating appropriate despite one dish being described as 'OK'.",True,,Zero-Shot
kwseo734U9LSQDCEqSNN2g,1,3,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 46.505954955s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 46
}
]",False,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 46.505954955s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 46
}
]",Zero-Shot
_UdpFKVDGxie0oAMHajvEA,1,3,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 42.997872775s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 42
}
]",False,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 42.997872775s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 42
}
]",Zero-Shot
QfdoE-XqEeCsttJH8g0ugQ,1,2,"The review expresses extreme negative sentiment towards the food, using words like 'disgusting,' 'dry,' 'cold,' and 'tasteless,' with multiple specific examples. However, it also expresses very strong positive sentiment for the atmosphere, unique desserts/drinks, and overall entertainment value, stating the reviewer 'will continue to come for the fun atmosphere.' The severe criticism of the food, a core offering, heavily weighs down the rating, but the clear intent to return for other positive aspects prevents it from being a 1-star rating.",True,,Zero-Shot
SYK_LgV8wDoezdu9acfz2w,1,1,"The review is overwhelmingly negative, detailing numerous frustrations and malfunctions. The reviewer experienced confusion with the payment system, difficulty with a unique nozzle design, pumps not working correctly, failure to receive a receipt, and significant wasted time and effort. The language used ('Stupid ampm station', 'torment me', 'Grr. Screw this. I'm never going back there again.') clearly indicates extreme dissatisfaction and a terrible experience. The humorous disclaimer about the reviewer's intelligence further emphasizes how poorly designed or maintained the station's system must be if it frustrates even a competent individual.",True,,Zero-Shot
o5WnqGiPo97Qf00eLGmU2Q,1,1,"The review expresses extreme dissatisfaction, using phrases like 'worst place to EVER live,' 'very rude,' 'SO gross,' and 'I hated living here.' It details numerous severe issues including safety concerns (gun shoots, assaults, car break-ins, broken gates), unfulfilled promises, non-functional amenities, rude management, and a post-move-out collections scam. There are no positive aspects mentioned whatsoever, making it a definitive 1-star rating.",True,,Zero-Shot
i4kZYaGypxV6LPCroMK5-A,1,1,"The review expresses extreme dissatisfaction, accusing the business of dishonesty, price gouging (charging $1300 for parts costing $316), and fraudulent practices. The reviewer explicitly states 'Stay away!' and intends to file a complaint with the Attorney General's office, all indicating a terrible experience warranting the lowest possible rating.",True,,Zero-Shot
62BFRSsUUCxsUBTHQy_ALg,1,1,"The review details a highly negative experience involving staff locking keys in the car, incompetence in resolving the issue, a long delay, a manager showing 'audacity' by getting angry at the customer, and a lack of compensation. The reviewer explicitly warns others 'Do not go to this car wash' and 'don't pay for your car wash until your car is done!'. All indicators point to the lowest possible rating.",True,,Zero-Shot
Ya1QU03ysxWG1zKaBXI0iQ,1,1,"The review expresses extreme dissatisfaction with both the food and service. Phrases like 'don't waste your money', 'worst mexican food', 'horrible after taste', 'hated my meal', 'terrible' (for another meal), 'waited forever', and 'wouldn't even recommend this place to my enemies' indicate a thoroughly negative experience with no redeeming qualities mentioned.",True,,Zero-Shot
TH5M4pgyEGrKWj9Rx2XGJg,1,1,"The review details a severely negative experience across multiple fronts: extremely long wait times, dismissive and unhelpful front desk staff who made errors, an office manager who refused to engage, and critically, an NP who missed essential patient information, including a 'deathly allergy.' The reviewer explicitly states the experience 'demoted' their rating to 1 star and ends with a strong warning against using the service.",True,,Zero-Shot
yMiNSE7ymTrQBpdKNYG-Jg,1,1,"The review expresses extreme negative sentiment, using profanity to describe the manager and highlighting a very uncomfortable experience (no AC in 90-degree weather). The statement 'They just lost alot of business' confirms the highly dissatisfied customer, warranting the lowest possible rating.",True,,Zero-Shot
CTMPP1y-BMZ70UHGj-DAfw,1,1,"The reviewer explicitly states 'the food is still not good' after a second visit, expresses extreme disbelief and disappointment with a specific dish ('wha? really? is this IRL?'), and concludes with 'this restaurant, I'm not a fan of.' All indicators point to a strongly negative experience.",True,,Zero-Shot
ysXcFqnWNQ33d_Qh0-cClw,1,1,"The review details an overwhelmingly negative experience. Key factors for the 1-star rating include: extremely poor and offensive customer service, including racist remarks and accusations of stealing; significant food quality issues with multiple dishes (undermarinated, tasteless bulgogi; sweet yakisoba with three tiny pieces of dry meat; chicken with tendons/fat); limited lunch specials; and a strong recommendation to go to a competitor. The initial excitement and 'cool' kimchi bar are completely overshadowed by the repeated negative encounters.",True,,Zero-Shot
pd0ekrEgnCwU0L1imreJpw,1,1,"Despite a positive mention of donut quality, the review highlights a significant operational failure (lack of stock), leading to a wasted trip and explicit disappointment. The inability to purchase the core product makes the experience overwhelmingly negative.",True,,Zero-Shot
hqpTT_eLPiQlb7-77zUo3w,1,3,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 46.625793658s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 46
}
]",False,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 46.625793658s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 46
}
]",Zero-Shot
Zn_VrwXE4OcYPwd1HdWg5A,1,3,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 43.134490123s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 43
}
]",False,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 10, model: gemini-2.5-flash
Please retry in 43.134490123s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 10
}
, retry_delay {
  seconds: 43
}
]",Zero-Shot
uaxOnMEBB1wcLfRsSsVY8g,1,1,"The reviewer explicitly states 'If if could give them a zero rating, I would have,' indicating extreme dissatisfaction. They describe the price as 'What a joke' and found an alternative for a third of the cost, reinforcing a very negative experience.",True,,Zero-Shot
sqtAlz4qop6JeQ42SHWLxQ,1,1,"The review expresses strong negative emotions and experiences: an excessively long wait for simple food (35+ minutes), idle staff, feeling ignored, explicit disgust with the service, perceiving the food as overpriced, and feeling 'worthless' upon leaving. The 'food okay' comment is the only neutral point, but it's heavily outweighed by the numerous severe service and value issues.",True,,Zero-Shot
fRfafaJw6pJpApH7bJepZg,1,1,"The review expresses strong dissatisfaction with multiple aspects: 'didn't care for any,' 'very dry,' 'frosting wasn't very good,' and the impactful 'even my 9 yr old daughter spit her cupcake out!' All indicate a highly negative experience.",True,,Zero-Shot
1DmZ5gHhff5CgZ_lqaPyHQ,1,1,"The reviewer expresses extreme frustration and disappointment due to repeated inability to access the restaurant, despite checking hours and calling. The initial positive sentiment about the concept is completely overshadowed by the restaurant's unreliability, lack of communication, and the final 'pathetic' sentiment, indicating a thoroughly negative overall experience.",True,,Zero-Shot
X8sOlD8trk6LeOCIJcMwgw,1,1,"The review is overwhelmingly negative, citing consistent disappointment with the food quality ('not impressive' after 'too many chances'), a perceived poor execution of even 'stolen' margarita recipes, and a strong final wish for the restaurant to improve its quality to retain customers. There are no redeeming qualities mentioned.",True,,Zero-Shot
Ii1qPwka49-3TO_NQGOtMA,1,1,"The review expresses extreme dissatisfaction, starting with 'Don't bother' and ending with 'Never going back, such a complete disappointment.' Key issues include the order being 'totally wrong,' receiving 'gross' mussels instead of lobster, very few shrimp in the tempura, and even the correct item (yakisoba) being 'not that great, pretty bland.' This indicates a complete failure in service, order accuracy, and food quality, warranting the lowest possible rating.",True,,Zero-Shot
In4SQU1ZVx9fU4yq67HphQ,1,1,"The review describes an extremely negative experience characterized by rude staff, menus being 'thrown', excessive waiting, inability to get assistance, and being ignored completely before eventually leaving without being served. The explicit statement 'I will not go back' reinforces a complete lack of satisfaction and a strong deterrent for future visits.",True,,Zero-Shot
T3dnb2VW9IEE-aAYccG-rA,1,1,"The review expresses extreme dissatisfaction, highlighting multiple significant issues including consistent filthiness (prior to remodeling), consistently poor food quality ('not good in any way anymore'), specific strong negative comments about a dish ('mac & cheese...so gross...taste is worse'), and a critical food safety concern ('served under temperature enough times'). The reviewer explicitly states these issues are enough to prevent them from returning. These are all indicators of a 1-star experience.",True,,Zero-Shot
